filename,battery,organik,glass,cardboard,metal,paper,plastic,trash
img_0191.jpg,1,0,0,0,1,0,1,0
img_1765.jpg,0,1,1,0,0,0,0,0
img_1665.jpg,0,0,1,0,0,0,1,0
img_4081.jpg,1,0,0,1,0,1,0,1
img_0879.jpg,0,0,0,1,1,0,1,0
img_3247.jpg,1,0,1,0,0,1,1,0
img_2699.jpg,1,0,0,0,0,0,1,0
img_4588.jpg,0,1,0,0,1,0,0,0
img_4682.jpg,0,0,0,0,0,1,1,1
img_3695.jpg,0,0,1,1,0,0,0,1
img_1183.jpg,1,0,1,0,0,1,0,1
img_3015.jpg,1,0,1,1,0,0,1,0
img_3787.jpg,0,0,1,0,0,1,0,0
img_1935.jpg,1,0,0,1,0,1,1,0
img_1583.jpg,1,1,0,0,1,0,0,1
img_1654.jpg,1,0,0,0,0,1,0,0
img_2923.jpg,1,0,1,1,0,0,0,0
img_3284.jpg,0,0,0,1,0,0,1,1
img_1074.jpg,0,0,0,1,0,0,1,0
img_4089.jpg,0,1,1,1,0,0,0,1
img_4068.jpg,0,1,0,0,0,1,0,1
img_2313.jpg,1,1,0,0,0,0,0,0
img_3969.jpg,1,0,0,0,0,1,0,0
img_2965.jpg,0,1,0,0,0,1,0,0
img_1623.jpg,0,0,0,1,1,1,0,0
img_0166.jpg,0,0,0,1,1,0,1,1
img_3267.jpg,0,0,1,0,0,1,0,1
img_1242.jpg,0,0,0,1,0,0,1,1
img_1024.jpg,0,1,1,0,0,0,0,0
img_1305.jpg,1,0,0,0,1,1,0,0
img_2239.jpg,0,1,1,0,0,0,0,0
img_2173.jpg,0,1,1,0,0,0,0,1
img_2852.jpg,0,0,0,0,1,1,1,1
img_1728.jpg,0,1,0,0,0,0,1,1
img_4877.jpg,0,1,1,1,1,0,0,0
img_2950.jpg,0,1,0,0,0,1,0,0
img_0152.jpg,0,0,0,0,0,1,0,1
img_4722.jpg,0,1,0,1,0,0,0,0
img_4687.jpg,0,1,0,0,0,0,1,1
img_4796.jpg,0,0,0,1,0,1,0,0
img_3245.jpg,0,1,0,1,0,1,0,0
img_4286.jpg,1,0,1,0,0,0,1,0
img_2599.jpg,0,0,1,0,1,1,1,0
img_3733.jpg,0,0,0,0,0,1,0,1
img_3754.jpg,1,0,1,0,0,1,0,0
img_4821.jpg,0,0,1,1,1,0,0,1
img_1351.jpg,0,0,0,1,1,1,1,0
img_1551.jpg,1,1,0,1,0,0,0,1
img_0031.jpg,0,0,1,1,0,1,1,0
img_0937.jpg,1,0,0,1,0,1,0,0
img_2837.jpg,0,1,1,0,0,0,1,1
img_3916.jpg,1,1,0,0,1,0,0,0
img_1117.jpg,0,0,1,0,1,0,0,1
img_0309.jpg,1,1,1,0,0,0,0,1
img_2446.jpg,0,0,0,1,0,1,0,0
img_1438.jpg,0,1,0,1,0,0,1,1
img_3104.jpg,0,1,0,0,1,0,0,0
img_0495.jpg,0,1,1,1,0,1,0,0
img_0205.jpg,1,0,0,1,0,0,0,1
img_2664.jpg,1,0,0,1,0,0,0,0
img_3349.jpg,1,0,0,1,0,1,0,0
img_4349.jpg,1,1,0,0,1,0,0,0
img_0305.jpg,0,1,1,0,0,0,0,0
img_3786.jpg,1,1,0,0,1,0,0,0
img_1767.jpg,0,1,0,1,1,1,0,0
img_1061.jpg,0,0,0,0,1,1,1,1
img_0843.jpg,0,0,1,1,0,1,0,0
img_4442.jpg,1,1,0,1,0,0,0,1
img_3572.jpg,0,0,0,0,0,0,1,1
img_0211.jpg,1,0,0,0,1,0,1,0
img_3709.jpg,0,1,1,0,0,0,0,0
img_0679.jpg,0,1,0,1,0,1,0,0
img_0565.jpg,0,0,1,0,1,0,0,0
img_3988.jpg,0,0,0,1,0,1,1,1
img_3573.jpg,1,1,0,0,1,0,0,0
